player_id;name;birth_date;role;year_date;years
22140;;1982-08-03T00:00:00.000Z;defence;1982;33
149946;Raphael Martinho Alves de Lima;1988-04-15T00:00:00.000Z;midfield;1988;27
5870;;1981-03-26T00:00:00.000Z;midfield;1981;34
99523;N�colas Andrade David;1988-04-12T00:00:00.000Z;goalkeeper;1988;27
24480;Nikolay Borislavov Mihaylov;1988-06-28T00:00:00.000Z;goalkeeper;1988;27
131209;Adri�n Ezequiel Cirigliano;1992-01-24T00:00:00.000Z;midfield;1992;23
126597;;1985-05-29T00:00:00.000Z;midfield;1985;30
44336;;1984-01-28T00:00:00.000Z;midfield;1984;31
21780;;1983-08-23T00:00:00.000Z;midfield;1983;32
38642;;1980-04-24T00:00:00.000Z;striker;1980;35
43760;;1987-05-10T00:00:00.000Z;midfield;1987;28
110925;Francesco Bardi;1992-01-18T00:00:00.000Z;goalkeeper;1992;23
5970;Dario Dainelli;1979-06-09T00:00:00.000Z;defence;1979;36
85380;Andrea Seculin;1990-07-14T00:00:00.000Z;goalkeeper;1990;25
28936;Riccardo Meggiorini;1985-09-04T00:00:00.000Z;striker;1985;30
243714;Kingsley Coman;1996-06-13T00:00:00.000Z;midfield;1996;19
4276;Carlos T?vez;1984-02-05T00:00:00.000Z;striker;1984;31
200194;Federico Mattiello;1995-07-14T00:00:00.000Z;midfield;1995;20
121756;R?mulo;1987-05-22T00:00:00.000Z;midfield;1987;28
87210;Davide Astori;1987-01-07T00:00:00.000Z;defence;1987;28
197747;Alessio Romagnoli;1995-01-12T00:00:00.000Z;defence;1995;20
88683;Mattia Destro;1991-03-20T00:00:00.000Z;midfield;1991;24
171307;Joshua Brillante;1993-03-25T00:00:00.000Z;midfield;1993;22
55997;Jos? Mar�a Basanta;1984-04-03T00:00:00.000Z;defence;1984;31
5957;Alberto Aquilani;1984-07-07T00:00:00.000Z;midfield;1984;31
197300;Federico Bernardeschi;1994-02-16T00:00:00.000Z;midfield;1994;21
199976;Marco Sportiello;1992-05-10T00:00:00.000Z;goalkeeper;1992;23
20913;Giuseppe Biava;1977-05-08T00:00:00.000Z;defence;1977;38
57280;Giacomo Bonaventura;1989-08-22T00:00:00.000Z;midfield;1989;26
76387;Carlos Carmona;1987-02-21T00:00:00.000Z;midfield;1987;28
33218;Luca Cigarini;1986-06-20T00:00:00.000Z;midfield;1986;29
76329;Marcelo Estigarribia;1987-09-21T00:00:00.000Z;midfield;1987;28
19435;Gianpaolo Bellini;1980-03-27T00:00:00.000Z;defence;1980;35
56854;Nicol? Cherubin;1986-12-02T00:00:00.000Z;defence;1986;29
99232;Marco D'Alessandro;1991-02-17T00:00:00.000Z;midfield;1991;24
20726;Rolando Bianchi;1983-02-15T00:00:00.000Z;midfield;1983;32
22673;Emil Hallfredsson;1984-06-29T00:00:00.000Z;midfield;1984;31
19708;Bosko Jankovic;1984-03-01T00:00:00.000Z;midfield;1984;31
29311;Mounir Obbadi;1983-04-04T00:00:00.000Z;midfield;1983;32
62415;Panagiotis Tachtsidis;1991-02-15T00:00:00.000Z;midfield;1991;24
38592;Juan G�mez;1985-05-20T00:00:00.000Z;midfield;1985;30
5980;Luca Toni;1977-05-26T00:00:00.000Z;midfield;1977;38
126516;Antonio Luna;1991-03-17T00:00:00.000Z;defence;1991;24
55472;Rafael Marques;1983-09-21T00:00:00.000Z;defence;1983;32
37633;Guillermo Rodr�guez;1984-03-21T00:00:00.000Z;defence;1984;31
91716;Frederik S?rensen;1992-04-14T00:00:00.000Z;defence;1992;23
34283;Lazaros Christodoulopoulos;1986-12-19T00:00:00.000Z;midfield;1986;29
98888;Artur Ionita;1990-08-17T00:00:00.000Z;midfield;1990;25
167741;Mattia Valoti;1993-09-06T00:00:00.000Z;striker;1993;22
185593;Nico L�pez;1993-10-01T00:00:00.000Z;midfield;1993;22
45717;Nen?;1983-07-28T00:00:00.000Z;midfield;1983;32
244192;Pierluigi Gollini;1995-03-18T00:00:00.000Z;goalkeeper;1995;20
34370;Diego L�pez;1981-11-03T00:00:00.000Z;goalkeeper;1981;34
5856;Daniele Bonera;1981-05-31T00:00:00.000Z;defence;1981;34
34344;Cristian Zapata;1986-09-30T00:00:00.000Z;defence;1986;29
66521;Keisuke Honda;1986-06-13T00:00:00.000Z;midfield;1986;29
44834;Andrea Poli;1989-09-29T00:00:00.000Z;midfield;1989;26
4672;Nigel de Jong;1984-11-30T00:00:00.000Z;midfield;1984;31
94529;Stephan El Shaarawy;1992-10-27T00:00:00.000Z;midfield;1992;23
16993;J?r?my M?nez;1987-05-07T00:00:00.000Z;midfield;1987;28
28862;Michael Agazzi;1984-07-03T00:00:00.000Z;goalkeeper;1984;31
56841;Michelangelo Albertazzi;1991-01-07T00:00:00.000Z;defence;1991;24
73786;Pablo Armero;1986-11-02T00:00:00.000Z;defence;1986;29
5993;Cristian Zaccardo;1981-12-21T00:00:00.000Z;defence;1981;34
199248;Bryan Cristante;1995-03-03T00:00:00.000Z;midfield;1995;20
5588;Michael Essien;1982-12-03T00:00:00.000Z;midfield;1982;33
88909;Riccardo Saponara;1991-12-21T00:00:00.000Z;striker;1991;24
253267;Hachim Mastour;1998-06-15T00:00:00.000Z;striker;1998;17
157501;M'Baye Niang;1994-12-19T00:00:00.000Z;midfield;1994;21
77825;Etrit Berisha;1989-03-10T00:00:00.000Z;goalkeeper;1989;26
19694;Dusan Basta;1984-08-18T00:00:00.000Z;defence;1984;31
222209;Thomas Strakosha;1995-03-19T00:00:00.000Z;goalkeeper;1995;20
